Price,Adj Close,Close,High,Low,Open,Volume
Ticker,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS
Date,,,,,,
2023-10-03,1526.224853515625,1537.4000244140625,1598.0,1533.050048828125,1597.199951171875,3436776
2023-10-04,1511.0360107421875,1522.0999755859375,1537.9000244140625,1501.75,1531.800048828125,2580901
2023-10-05,1526.7708740234375,1537.949951171875,1550.800048828125,1513.050048828125,1533.0,1991367
2023-10-06,1537.5916748046875,1548.8499755859375,1554.0,1540.3499755859375,1545.0,1743027
2023-10-09,1504.1861572265625,1515.199951171875,1541.25,1514.0,1540.0,2123175
2023-10-10,1526.671630859375,1537.8499755859375,1543.8499755859375,1519.199951171875,1521.449951171875,1956653
2023-10-11,1544.987548828125,1556.300048828125,1559.1500244140625,1540.0,1540.0,1536986
2023-10-12,1555.2623291015625,1566.6500244140625,1570.050048828125,1555.5999755859375,1559.0,1731806
2023-10-13,1551.0927734375,1562.449951171875,1574.4000244140625,1550.300048828125,1560.5,1465554
2023-10-16,1563.1048583984375,1574.550048828125,1577.25,1558.5,1562.8499755859375,1089610
2023-10-17,1565.139892578125,1576.5999755859375,1583.9000244140625,1568.5999755859375,1575.0,997962
2023-10-18,1563.402587890625,1574.8499755859375,1579.449951171875,1561.75,1576.5999755859375,1212994
2023-10-19,1558.1412353515625,1569.550048828125,1578.9000244140625,1553.3499755859375,1553.3499755859375,1239578
2023-10-20,1546.92333984375,1558.25,1575.0,1545.0999755859375,1566.0,1435102
2023-10-23,1553.773193359375,1565.1500244140625,1574.9000244140625,1546.5,1548.25,4069167
2023-10-25,1557.6944580078125,1569.0999755859375,1576.5999755859375,1547.0,1574.0,2510769
2023-10-26,1495.15234375,1506.0999755859375,1558.199951171875,1500.0,1554.0,3343802
2023-10-27,1499.8182373046875,1510.800048828125,1533.949951171875,1507.300048828125,1508.3499755859375,3341111
2023-10-30,1486.9127197265625,1497.800048828125,1515.449951171875,1463.199951171875,1502.0999755859375,2637486
2023-10-31,1447.9976806640625,1458.5999755859375,1497.300048828125,1455.550048828125,1494.199951171875,2555737
2023-11-01,1444.0267333984375,1454.5999755859375,1485.0,1450.0,1464.9000244140625,2627536
2023-11-02,1459.0169677734375,1469.699951171875,1477.5,1452.5,1465.0,2091122
2023-11-03,1458.322021484375,1469.0,1488.0999755859375,1460.449951171875,1480.0,2456723
2023-11-06,1477.4818115234375,1488.300048828125,1492.199951171875,1473.550048828125,1481.800048828125,1271868
2023-11-07,1468.993896484375,1479.75,1497.0,1475.0,1488.25,1940908
2023-11-08,1476.58837890625,1487.4000244140625,1489.4000244140625,1474.0,1485.050048828125,1342202
2023-11-09,1540.7684326171875,1552.050048828125,1558.699951171875,1487.4000244140625,1487.4000244140625,4831782
2023-11-10,1513.021484375,1524.0999755859375,1551.0,1515.300048828125,1550.0,4872228
2023-11-13,1529.05419921875,1540.25,1543.300048828125,1513.050048828125,1526.25,1968032
2023-11-15,1532.92578125,1544.1500244140625,1550.800048828125,1533.550048828125,1549.0,2782942
2023-11-16,1558.091552734375,1569.5,1583.949951171875,1538.5,1544.199951171875,3224223
2023-11-17,1573.0322265625,1584.550048828125,1596.0,1572.6500244140625,1575.0,2035309
2023-11-20,1540.917236328125,1552.199951171875,1589.800048828125,1540.5999755859375,1589.800048828125,2918577
2023-11-21,1548.4124755859375,1559.75,1571.4000244140625,1549.1500244140625,1553.0,2213144
2023-11-22,1532.2308349609375,1543.449951171875,1564.6500244140625,1535.0,1560.0,1269475
2023-11-23,1534.6134033203125,1545.8499755859375,1560.949951171875,1535.0999755859375,1556.5999755859375,1552635
2023-11-24,1541.9100341796875,1553.199951171875,1559.5,1547.5,1549.0,1239270
2023-11-28,1554.6666259765625,1566.050048828125,1572.0,1542.1500244140625,1553.199951171875,2596766
2023-11-29,1607.3309326171875,1619.0999755859375,1623.4000244140625,1567.25,1576.0,3581220
