Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS
Date,,,,,,
2023-10-03,764.26318359375,770.25,776.5499877929688,768.0,776.5499877929688,1099773
2023-10-04,750.71923828125,756.5999755859375,768.0,753.1500244140625,767.9500122070312,1654158
2023-10-05,749.6278076171875,755.5,762.6500244140625,752.9000244140625,762.0,1459736
2023-10-06,759.25244140625,765.2000122070312,771.1500244140625,758.6500244140625,760.3499755859375,2026927
2023-10-09,751.661865234375,757.5499877929688,761.4000244140625,749.1500244140625,756.5,725323
2023-10-10,765.900390625,771.9000244140625,774.2000122070312,757.2999877929688,759.6500244140625,1351582
2023-10-11,771.2088012695312,777.25,782.5499877929688,774.5499877929688,776.0,1841618
2023-10-12,777.360595703125,783.4500122070312,789.9500122070312,779.4500122070312,782.4000244140625,2139718
2023-10-13,771.2088012695312,777.25,780.0,773.0,778.0,998547
2023-10-16,784.5542602539062,790.7000122070312,794.3499755859375,773.0,777.25,2157341
2023-10-17,784.008544921875,790.1500244140625,796.0,788.1500244140625,792.7000122070312,1050381
2023-10-18,778.30322265625,784.4000244140625,801.0,781.2000122070312,793.0999755859375,1250892
2023-10-19,774.3839111328125,780.4500122070312,782.7000122070312,769.1500244140625,780.1500244140625,2130597
2023-10-20,763.4197998046875,769.4000244140625,779.75,761.9000244140625,779.5999755859375,1501944
2023-10-23,743.1287231445312,748.9500122070312,774.7999877929688,746.0999755859375,770.7999877929688,1715908
2023-10-25,742.4837646484375,748.2999877929688,761.8499755859375,741.5,754.0999755859375,2417579
2023-10-26,723.0361328125,728.7000122070312,745.0,725.5,744.7000122070312,2519570
2023-10-27,726.3104858398438,732.0,735.4500122070312,725.25,729.7000122070312,1588987
2023-10-30,728.7910766601562,734.5,736.7999877929688,726.0,734.7999877929688,1162173
2023-10-31,730.6266479492188,736.3499755859375,738.5499877929688,727.0,737.0,1363728
2023-11-01,718.8191528320312,724.4500122070312,737.2999877929688,723.0,736.9000244140625,1845107
2023-11-02,727.6499633789062,733.3499755859375,734.4000244140625,725.0,728.0,1095177
2023-11-03,740.2512817382812,746.0499877929688,748.0,735.0,735.9500122070312,2526039
2023-11-06,748.1394653320312,754.0,756.4500122070312,744.9000244140625,748.0999755859375,2782755
2023-11-07,742.7814331054688,748.5999755859375,759.5999755859375,746.9500122070312,757.0,2288975
2023-11-08,750.8185424804688,756.7000122070312,757.75,745.0,750.0,2664277
2023-11-09,745.013916015625,750.8499755859375,759.9000244140625,749.0499877929688,756.7000122070312,2579350
2023-11-10,748.8836669921875,754.75,759.0,745.0499877929688,751.9000244140625,1108868
2023-11-13,755.1842651367188,761.0999755859375,763.25,753.0,756.5499877929688,942603
2023-11-15,766.8429565429688,772.8499755859375,782.5,769.0,769.0,2443652
2023-11-16,763.1717529296875,769.1500244140625,774.2999877929688,763.4000244140625,770.5,1699954
2023-11-17,762.824462890625,768.7999877929688,774.9000244140625,766.0,772.0,1567731
2023-11-20,755.928466796875,761.8499755859375,772.0,760.6500244140625,769.9000244140625,1024654
2023-11-21,769.77001953125,775.7999877929688,779.5999755859375,765.9500122070312,766.8499755859375,1846834
2023-11-22,762.4771728515625,768.4500122070312,776.75,765.5,775.7999877929688,1312655
2023-11-23,769.52197265625,775.5499877929688,777.9500122070312,767.1500244140625,771.9500122070312,1068229
2023-11-24,775.971435546875,782.0499877929688,786.25,776.4000244140625,779.0,2069730
2023-11-28,776.2691040039062,782.3499755859375,785.5499877929688,778.75,785.0,858569
2023-11-29,787.0844116210938,793.25,794.7000122070312,783.2000122070312,783.2000122070312,1481172
